NeighbourhoodID,Neighbourhood,0 to 04 years,0 to 14 years,05 to 09 years,10 to 14 years,100 years and over,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,50 to 54 years,55 to 59 years,55 years and over,60 to 64 years,65 to 69 years,65 years and over,70 to 74 years,75 to 79 years,80 to 84 years,85 to 89 years,85 years and over,90 to 94 years,95 to 99 years,Total Population - All Age Groups - 100% data
29,Maple Leaf,485,1500,520,485,0,605,660,630,595,670,645,805,710,3225,495,420,2030,385,440,395,250,380,115,10,10110
30,Brookhaven-Amesbury,1060,3360,1210,1100,0,1175,1285,1250,1295,1245,1155,1425,1245,4305,940,660,2130,450,395,330,205,285,65,10,17755
31,Yorkdale-Glen Park,595,1960,640,720,10,910,960,990,915,915,880,1075,980,5110,830,725,3295,590,610,600,440,775,255,65,14805
32,Englemount-Lawrence,1595,4805,1640,1565,15,1590,1440,1305,1385,1550,1440,1375,1305,6150,1125,955,3725,665,595,550,475,955,365,115,22370
33,Clanton Park,970,2765,950,850,5,940,970,1155,1345,1370,1235,1205,1065,4315,870,780,2375,490,390,320,240,400,130,30,16470
34,Bathurst Manor,850,2325,720,750,15,895,1045,930,1070,1210,1020,1230,1170,4975,860,795,2940,495,490,455,375,710,250,75,15875
35,Westminster-Branson,1265,3440,1110,1070,15,1510,1845,1665,1830,1800,1770,1945,1865,8620,1635,1465,5130,920,1020,715,590,1000,315,75,26275
36,Newtonbrook West,980,2810,865,960,15,1375,1950,1845,1700,1655,1575,1880,1720,7270,1390,1190,4165,865,740,680,410,685,225,55,23835
37,Willowdale West,695,1785,600,500,10,815,1415,1610,1540,1155,1045,1110,1050,5440,1020,925,3370,665,600,525,405,655,205,40,16935
38,Lansing-Westgate,815,2420,875,720,10,855,1250,1310,1355,1345,1225,1200,1045,4070,865,690,2160,475,370,265,225,360,115,15,16160
39,Bedford Park-Nortown,1275,4555,1575,1705,5,1725,1485,875,1095,1370,1495,1835,1665,7060,1410,1225,3980,900,660,540,410,660,200,45,23235
40,St.Andrew-Windfields,615,2645,960,1080,0,1270,1270,1025,790,865,1115,1505,1385,5850,1240,1095,3235,790,555,375,285,410,110,5,17815
41,Bridle Path-Sunnybrook-York Mills,345,1435,480,630,0,750,675,415,285,355,515,820,800,3315,725,575,1785,430,315,225,165,245,60,15,9270
42,Banbury-Don Mills,1075,3605,1260,1285,30,1370,1360,1400,1595,1625,1790,2225,1935,10545,1620,1670,6975,1360,1235,1085,955,1640,520,125,27685
43,Victoria Village,870,2630,925,830,15,975,1055,1135,1130,1260,1115,1300,1210,5670,1060,905,3405,705,700,520,335,570,190,40,17515
44,Flemingdon Park,1490,4385,1475,1420,5,1475,1585,1590,1605,1590,1475,1480,1300,5310,1035,975,2980,730,585,400,200,285,70,10,21930
45,Parkwoods-Donalda,1800,5840,1980,2055,10,2295,2385,2335,2270,2360,2420,2820,2410,9520,1855,1530,5250,1200,950,800,545,775,185,40,34800
46,Pleasant View,580,2050,740,730,0,940,1140,1055,965,865,1045,1295,1060,5215,960,955,3195,755,670,460,255,355,85,15,15815
47,Don Valley Village,1380,4065,1420,1275,15,1405,1875,2010,1865,2000,2035,1960,1695,7855,1450,1395,4700,1035,920,695,405,665,170,55,27050
48,Hillcrest Village,585,2115,765,760,5,980,1190,1005,725,760,1030,1235,1135,6560,1130,1200,4305,960,885,620,410,630,185,35,16935
49,Bayview Woods-Steeles,390,1515,535,600,15,750,885,810,565,545,695,955,975,5510,850,920,3685,725,715,585,420,740,240,65,13150
50,Newtonbrook East,540,1585,510,540,10,825,1360,1520,1205,905,910,1225,1145,5480,1010,920,3320,650,590,495,410,670,190,50,16095
51,Willowdale East,2290,5920,1930,1710,5,2680,4260,5785,5335,4185,3525,3435,2985,11725,2475,2080,6270,1445,1130,780,555,830,230,40,50435
52,Bayview Village,855,2415,800,765,0,950,1555,2220,2220,1665,1445,1370,1330,6165,1210,1060,3615,780,620,555,385,610,195,30,21390
53,Henry Farm,940,2505,880,690,0,795,1535,2025,1790,1385,1040,915,755,2850,635,520,1460,345,275,185,100,135,20,0,15730
54,O'Connor-Parkview,1030,3110,1030,1060,5,1110,1275,1175,1120,1340,1230,1510,1480,5335,1170,865,2690,595,435,360,260,430,135,30,18675
55,Thorncliffe Park,1995,5600,2065,1535,10,1245,1210,1505,1760,1640,1590,1105,935,4025,730,660,2365,485,435,355,240,425,130,55,21105
56,Leaside-Bennington,810,3285,1170,1295,5,1180,995,590,605,940,1250,1520,1330,4890,1010,805,2550,650,365,330,235,400,130,30,16825
57,Broadview North,555,1470,475,440,0,445,595,900,1040,970,950,890,755,3280,680,620,1865,425,310,235,175,255,70,10,11500
58,Old East York,465,1470,520,490,0,445,470,475,555,685,670,890,710,2805,570,520,1520,305,260,210,130,230,75,10,9230
59,Danforth East York,1205,3020,1020,805,5,725,725,815,1295,1605,1515,1325,1120,4790,1015,850,2655,590,475,375,240,365,95,25,17190
60,Woodbine-Lumsden,460,1165,370,335,0,300,375,470,650,730,635,680,615,2250,535,395,1095,235,215,130,80,125,35,5,7860
61,Taylor-Massey,1115,2950,1050,780,10,730,960,1275,1490,1340,1260,1095,965,3455,785,555,1705,330,315,235,160,270,80,25,15685
62,East End-Danforth,1410,3735,1240,1090,0,1065,1145,1145,1630,1805,1815,1830,1595,5465,1210,1000,2650,630,425,295,175,310,105,25,21385
63,The Beaches,1245,3825,1325,1250,5,1080,995,1085,1410,1665,1710,1830,1635,6100,1505,1190,2955,790,425,290,180,265,70,5,21570
64,Woodbine Corridor,905,2325,820,600,0,535,500,720,1075,1160,1135,1030,890,3000,735,505,1380,310,225,165,125,170,45,5,12540
65,Greenwood-Coxwell,1055,2460,845,550,0,585,720,1050,1295,1435,1275,1070,945,3400,820,550,1640,365,295,225,130,200,60,5,14420
66,Danforth,630,1675,585,455,0,405,515,615,770,820,785,695,635,2705,560,500,1515,365,250,200,120,195,60,15,9665
67,Playter Estates-Danforth,375,1150,390,385,5,345,390,645,605,685,590,605,525,2185,445,405,1220,260,210,145,120,195,60,20,7805
68,North Riverdale,685,1960,700,580,0,565,605,680,870,965,920,1095,925,3315,720,640,1660,385,295,210,90,140,30,10,11910
69,Blake-Jones,520,1405,490,395,0,450,435,495,615,670,635,605,565,1835,375,325,895,200,155,100,80,115,20,10,7730
70,South Riverdale,1705,3975,1325,925,10,1010,1435,2240,3080,2875,2495,2110,1725,6455,1395,1175,3330,695,515,430,325,520,130,50,27880
71,Cabbagetown-South St. James Town,315,800,260,220,5,295,740,1050,1005,930,820,1130,945,3990,770,790,2250,550,370,260,195,305,85,25,11670
72,Regent Park,530,1635,520,590,0,740,1035,1205,1125,880,745,825,635,1830,465,320,730,190,105,65,35,50,10,10,10805
73,Moss Park,665,1540,490,385,5,520,1540,2790,2860,2100,1600,1615,1350,4390,1145,820,1900,465,310,160,75,140,50,15,20505
74,North St. James Town,945,2290,725,615,0,740,1525,2280,2230,1810,1315,1385,1135,3710,835,685,1740,400,255,180,125,220,60,20,18610
75,Church-Yonge Corridor,675,1260,325,270,0,1040,4020,5540,4485,2750,1980,2135,1800,6250,1435,1120,3010,750,530,365,180,250,65,5,31340
76,Bay Street Corridor,985,1695,470,240,0,1385,5475,4545,3330,1840,1090,1205,960,4200,800,740,2420,595,455,320,225,330,90,10,25795
77,Waterfront Communities-The Island,2135,3650,925,605,5,1140,6700,15755,12400,6815,4135,2800,2560,9300,2120,1760,4635,1225,740,530,250,365,90,20,65920
78,Kensington-Chinatown,520,1315,440,355,5,740,2610,2710,1905,1210,970,1015,985,4495,810,705,2705,490,515,510,295,480,140,25,17945
79,University,215,565,175,160,10,330,1155,1135,780,555,375,380,320,1960,330,305,1320,260,220,220,150,305,100,40,7610
80,Palmerston-Little Italy,455,1280,435,390,0,390,1075,2360,1850,1125,885,760,645,3205,615,545,1960,445,375,290,210,290,75,20,13830
81,Trinity-Bellwoods,695,1745,575,485,0,470,1160,2325,2075,1440,1215,1040,885,3985,740,660,2350,495,470,405,225,330,85,15,16555
82,Niagara,1190,2055,510,340,0,385,2030,6865,6780,4125,2450,1415,1065,3370,820,635,1510,380,240,135,70,95,20,5,31180
83,Dufferin Grove,490,1285,425,370,5,370,695,1525,1645,1215,880,650,690,2750,545,475,1515,355,295,215,110,175,50,5,11780
84,Little Portugal,565,1400,450,390,5,415,1190,2720,2365,1610,1075,755,710,3175,615,520,1855,430,380,265,165,255,85,15,15560
85,South Parkdale,845,2115,675,620,5,725,1550,2965,2885,2015,1650,1435,1380,5005,1095,895,2540,540,425,310,215,360,95,40,21845
86,Roncesvalles,785,2300,815,705,0,585,720,1380,1560,1400,1265,1115,900,3365,790,610,1680,380,295,205,120,185,55,10,14970
87,High Park-Swansea,1160,3540,1255,1135,10,1010,1115,2035,2270,1995,1785,1730,1540,6675,1330,1170,3800,830,580,470,400,755,295,55,23925
88,High Park North,1085,2850,970,795,5,785,1105,2325,2585,2005,1740,1455,1355,5790,1230,1050,3180,720,495,390,290,550,190,65,22160
89,Runnymede-Bloor West Village,745,2050,710,595,0,480,480,465,695,870,910,820,680,2460,535,455,1245,270,175,150,120,195,65,15,10070
90,Junction Area,910,2190,735,565,0,645,820,1195,1520,1365,1175,1155,945,3265,805,615,1500,320,230,175,120,175,40,10,14365
91,Weston-Pellam Park,560,1675,560,560,0,630,785,850,1015,940,830,885,815,2740,600,470,1325,310,215,180,95,150,45,5,11100
92,Corso Italia-Davenport,710,1910,625,580,5,640,905,1340,1310,1225,990,1070,975,3760,765,595,2015,425,405,295,210,300,70,20,14135
93,Dovercourt-Wallace Emerson-Junction,1740,4480,1480,1260,0,1405,2520,4395,4345,3380,2695,2535,2200,8480,1735,1375,4515,1045,890,640,400,595,170,30,36630
94,Wychwood,630,1860,655,575,20,515,805,1280,1230,1050,930,920,785,4745,810,710,3150,570,495,495,485,880,275,100,14355
95,Annex,925,2360,760,675,20,1015,2735,4350,3295,2090,1750,1865,1780,9360,1700,1725,5910,1335,1030,750,570,1040,340,110,30530
96,Casa Loma,355,1200,400,445,0,445,635,970,900,655,595,740,700,4130,765,830,2675,665,470,305,255,395,100,35,10965
97,Yonge-St.Clair,450,1210,410,340,5,310,610,1375,1310,850,785,800,740,4460,800,810,2905,735,500,405,275,470,135,50,12525
98,Rosedale-Moore Park,735,2625,870,995,0,1025,1160,1330,1255,1115,1195,1620,1520,8195,1510,1505,5140,1280,925,705,465,750,220,65,20925
99,Mount Pleasant East,1020,2980,1035,930,0,880,825,1040,1170,1370,1360,1320,1060,4475,960,840,2455,630,415,310,160,260,75,25,16775
100,Yonge-Eglinton,590,1800,625,585,5,500,725,1240,1180,965,840,800,645,2915,680,600,1600,440,210,175,110,165,55,0,11815
101,Forest Hill South,360,1365,445,560,0,640,715,805,730,580,630,770,755,3790,775,750,2260,525,385,275,215,325,80,25,10730
102,Forest Hill North,625,2060,715,720,5,715,785,810,875,900,930,920,925,3850,800,745,2135,480,325,225,180,350,120,40,12810
103,Lawrence Park South,675,2845,990,1175,0,1100,995,780,720,835,1055,1270,1130,4355,985,755,2235,560,335,275,205,315,100,20,15170
104,Mount Pleasant West,1070,2380,725,595,30,815,1705,3985,4390,2895,2165,1825,1610,7630,1420,1295,4605,1000,775,590,480,940,325,100,29660
105,Lawrence Park North,950,3280,1235,1105,5,940,730,545,630,1020,1250,1145,980,3670,745,675,1935,460,315,230,160,265,80,20,14610
106,Humewood-Cedarvale,720,2165,750,690,5,650,960,1440,1405,1130,1070,945,850,3595,800,680,1940,445,330,210,160,280,90,30,14365
107,Oakwood Village,1165,3130,1020,935,5,1030,1245,1470,1705,1645,1615,1515,1395,6275,1195,1025,3700,830,730,560,355,540,145,40,21205
108,Briar Hill-Belgravia,690,1855,565,600,5,745,910,1085,1140,1125,1025,1200,1085,4025,840,725,2100,420,375,270,205,310,85,20,14250
109,Caledonia-Fairbank,505,1490,500,490,0,545,675,730,835,750,670,815,765,2670,585,420,1325,320,240,175,105,165,45,10,9955
110,Keelesdale-Eglinton West,525,1610,560,525,0,665,765,750,795,770,755,935,815,3220,620,555,1785,390,310,300,170,230,55,10,11055
111,Rockcliffe-Smythe,1180,3505,1170,1150,0,1300,1440,1450,1570,1560,1390,1740,1675,6730,1415,1135,3655,865,660,500,295,480,150,25,22245
112,Beechborough-Greenbrook,375,1120,400,355,0,415,440,465,435,465,395,505,465,1855,420,275,965,235,160,155,75,145,75,0,6585
113,Weston,1140,3100,1035,930,10,990,1235,1335,1355,1225,1165,1440,1315,4855,1115,825,2445,480,430,295,230,395,125,35,17990
114,Lambton Baby Point,545,1695,620,535,0,510,395,380,465,600,595,615,565,2075,485,365,1025,240,165,115,70,140,55,5,7980
115,Mount Dennis,805,2395,810,780,5,870,945,1015,1005,960,875,1115,990,3455,770,530,1685,410,295,195,150,265,75,30,13595
116,Steeles,1045,3150,1125,980,15,1225,1460,1770,1455,1165,1430,1910,1780,9240,1735,1720,5755,1180,1010,860,585,955,275,70,24610
117,L'Amoreaux,2035,6120,2045,2050,10,2625,3105,3040,2595,2190,2540,3695,3120,14915,2810,2575,8990,1855,1770,1440,910,1345,370,70,43995
118,Tam O'Shanter-Sullivan,1305,3885,1335,1225,10,1495,1730,1850,1645,1585,1625,2125,1875,9665,1635,1430,6160,1215,1200,1090,740,1220,385,90,27445
119,Wexford/Maryvale,1335,4215,1450,1420,5,1670,1980,1840,1735,1695,1790,2370,2185,8660,1755,1310,4715,955,850,700,570,905,260,60,27930
120,Clairlea-Birchmount,1580,4565,1490,1485,10,1710,1785,1805,1925,1965,1860,2280,1890,6995,1470,1150,3630,740,565,520,360,660,225,45,26980
121,Oakridge,980,2865,970,930,0,880,800,845,1075,1090,1020,990,920,3250,675,510,1655,395,290,205,115,255,110,20,13840
122,Birchcliffe-Cliffside,1075,3345,1150,1105,10,1145,1295,1085,1225,1380,1600,2055,1900,7435,1620,1330,3910,870,595,490,370,630,195,50,22285
123,Cliffcrest,730,2575,895,950,0,1100,1045,810,815,765,1045,1400,1365,5135,1080,935,2695,570,410,405,235,370,110,20,15935
124,Kennedy Park,915,2775,930,930,5,1065,1110,1115,1070,1070,1090,1500,1370,5065,1140,815,2550,555,480,375,220,330,95,15,17125
125,Ionview,845,2310,785,690,0,755,890,1045,1095,1000,915,1085,930,3620,790,605,1890,440,355,255,175,245,60,15,13635
126,Dorset Park,1365,4250,1470,1415,5,1480,1675,1590,1660,1680,1715,2120,1845,7100,1485,1085,3780,735,590,570,440,790,265,75,25000
127,Bendale,1530,4550,1495,1530,10,1845,2760,2295,2125,1750,1795,2100,1935,8785,1600,1450,5250,1070,975,855,580,900,240,65,29965
128,Agincourt South-Malvern West,1115,3075,1035,935,0,1470,1890,2020,1645,1340,1360,1950,1755,7370,1510,1320,4105,875,760,595,365,555,155,35,23750
129,Agincourt North,1280,3840,1300,1240,10,1705,2000,2020,1775,1465,1665,2440,2230,10280,2000,1905,6045,1290,1065,865,565,925,270,90,29110
130,Milliken,1385,3675,1260,1030,15,1380,1815,2155,1790,1415,1480,2060,2040,9175,1990,1670,5115,1010,835,750,520,880,245,90,26570
131,Rouge,2370,7960,2810,2775,10,3265,3435,3180,2910,2775,2830,3680,3555,13320,3135,2590,6625,1670,1005,680,415,685,205,65,46495
132,Malvern,2405,7910,2680,2815,0,3170,3450,3210,2970,2635,2825,3275,2980,11405,2555,2255,5890,1535,1045,590,305,445,110,30,43790
133,Centennial Scarborough,655,2150,720,780,5,940,910,715,650,755,815,1135,1050,4335,905,840,2385,665,475,240,115,160,35,10,13365
134,Highland Creek,450,1545,485,610,0,815,1110,935,695,625,565,1015,1020,4410,1000,910,2395,650,400,240,120,190,55,15,12490
135,Morningside,925,2880,1020,930,5,1165,1525,1320,1075,1065,920,1335,1295,5045,1060,845,2695,610,510,370,245,355,90,25,17460
136,West Hill,1425,4635,1590,1630,5,1965,1985,1760,1605,1520,1630,2265,2080,8030,1705,1350,4240,975,775,520,365,625,210,60,27390
137,Woburn,3140,9625,3365,3125,5,3400,4260,4060,3740,3485,3365,3750,3490,14285,2755,2220,8010,1810,1550,1330,740,1130,305,60,53490
138,Eglinton East,1315,4180,1480,1395,5,1585,1545,1450,1425,1480,1445,1770,1535,6320,1290,1015,3505,815,625,480,345,560,170,45,22775
139,Scarborough Village,1055,3365,1200,1100,10,1140,1220,1055,1025,1070,1125,1260,1130,4320,965,675,2225,455,365,300,245,430,135,25,16730
140,Guildwood,1295,425,455,5,540,525,415,435,455,620,770,800,4195,755,590,2635,510,510,490,350,540,165,30,9910,
,410,,,,,,,,,,,,,,,,,,,,,,,,,
